TIME_ID,Y,TIME
2018/12/3 20:47 PFPU11.00_13,0.799087,2018/12/3 20:47
2018/12/3 20:49 PM0T91.05_09,0.304414,2018/12/3 20:49
2018/12/3 21:04 PKXR77.00_05,0.228311,2018/12/3 21:04
2018/12/3 21:06 PM0T91.05_08,0.304414,2018/12/3 21:06
2018/12/3 21:22 PM0T91.05_07,0.304414,2018/12/3 21:22
2018/12/3 21:42 PM0T91.05_06,0.228311,2018/12/3 21:42
2018/12/3 21:56 PM0T91.05_05,0.114155,2018/12/3 21:56
2018/12/3 22:11 PM0T91.05_04,0.076104,2018/12/3 22:11
2018/12/3 22:29 PM0T91.05_03,0.304414,2018/12/3 22:29
2018/12/3 22:31 PM2G21.00_08,0.418569,2018/12/3 22:31
2018/12/3 22:58 PKXR57.06_19,0.494673,2018/12/3 22:58
2018/12/3 23:18 PFTA36.0L_21,0.456621,2018/12/3 23:18
2018/12/3 23:40 PKXR77.00_04,0.228311,2018/12/3 23:40
2018/12/4 00:11 PFPU11.00_12,0.684932,2018/12/4 00:11
2018/12/4 00:37 PM2G21.0G_02,0.228311,2018/12/4 00:37
2018/12/4 01:05 PM2G21.00_07,0.456621,2018/12/4 01:05
2018/12/4 01:06 PM2G21.0G_01,0.190259,2018/12/4 01:06
2018/12/4 01:27 PKXR57.06_18,0.456621,2018/12/4 01:27
2018/12/4 01:48 PKTC16.05_22,0.304414,2018/12/4 01:48
2018/12/4 02:08 PKTC16.05_19,0.304414,2018/12/4 02:08
2018/12/4 02:09 PKXR77.00_03,0.152207,2018/12/4 02:09
2018/12/4 02:42 PFPU11.00_11,0.570776,2018/12/4 02:42
2018/12/4 02:57 PKWT09.0A_22,0.266362,2018/12/4 02:57
2018/12/4 03:58 PKXR57.06_17,0.608828,2018/12/4 03:58
2018/12/4 04:41 PKXR77.00_02,0.532725,2018/12/4 04:41
2018/12/4 05:12 PFPU11.00_10,0.722983,2018/12/4 05:12
2018/12/4 05:52 PKWT09.0A_21,0.570776,2018/12/4 05:52
2018/12/4 06:28 PKXR57.06_16,0.64688,2018/12/4 06:28
2018/12/4 07:09 PKXR77.00_01,0.494673,2018/12/4 07:09
2018/12/4 07:52 PFPU11.00_02,0.456621,2018/12/4 07:52
2018/12/4 09:06 PKXR57.06_15,0.418569,2018/12/4 09:06
2018/12/4 10:56 PKWT58.00_12,0.722983,2018/12/4 10:56
2018/12/4 11:24 PM0T91.00_02,0.989346,2018/12/4 11:24
2018/12/4 11:35 PKXR57.06_14,0.304414,2018/12/4 11:35
2018/12/4 12:45 PKXR74.09_20,0.494673,2018/12/4 12:45
2018/12/4 12:50 PFVA72.05_25,0.684932,2018/12/4 12:50
2018/12/4 13:34 PFVA72.05_12,0.304414,2018/12/4 13:34
2018/12/4 13:54 PKWT58.00_11,0.456621,2018/12/4 13:54
2018/12/4 14:05 PM0T91.00_01,0.989346,2018/12/4 14:05
2018/12/4 14:12 PKXR57.06_13,0.64688,2018/12/4 14:12
2018/12/4 14:15 PFVA72.05_11,0.114155,2018/12/4 14:15
2018/12/4 15:16 PKXR74.09_18,0.152207,2018/12/4 15:16
2018/12/4 16:56 PKWT58.00_10,0.684932,2018/12/4 16:56
2018/12/4 17:25 PKXR71.00_11,0.761035,2018/12/4 17:25
2018/12/4 17:53 PKXR74.09_17,0.64688,2018/12/4 17:53
2018/12/4 18:24 PFTA41.0G_12,0.342466,2018/12/4 18:24
2018/12/4 18:33 PFTA38.08_07,1.52207,2018/12/4 18:33
2018/12/4 20:13 PKXR71.00_10,0.913242,2018/12/4 20:13
2018/12/4 20:33 PKXR74.09_16,0.418569,2018/12/4 20:33
2018/12/4 21:40 PKWT47.0A_16,0.456621,2018/12/4 21:40
2018/12/4 22:12 PKWT47.0A_15,0.228311,2018/12/4 22:12
2018/12/4 22:31 PKWT47.0A_14,0.190259,2018/12/4 22:31
2018/12/4 22:51 PKWT47.0A_13,0.190259,2018/12/4 22:51
2018/12/4 22:52 PKXR71.00_09,0.608828,2018/12/4 22:52
2018/12/4 23:10 PKXR74.09_15,0.456621,2018/12/4 23:10
2018/12/4 23:45 PKXR95.09_16,0.114155,2018/12/4 23:45
2018/12/5 00:14 PKXR95.09_15,0.152207,2018/12/5 00:14
2018/12/5 00:32 PKXR95.09_14,0.038052,2018/12/5 00:32
2018/12/5 01:09 PM2G21.0G_06,0.608828,2018/12/5 01:09
2018/12/5 01:11 PKWT58.00_09,0.152207,2018/12/5 01:11
2018/12/5 01:34 PKXR71.00_08,0.494673,2018/12/5 01:34
2018/12/5 01:50 PKXR74.09_14,0.64688,2018/12/5 01:50
2018/12/5 02:09 PM2G21.0G_05,0.456621,2018/12/5 02:09
2018/12/5 02:23 PFTA42.09_20,0.418569,2018/12/5 02:23
2018/12/5 04:15 PKXR71.00_07,0.913242,2018/12/5 04:15
2018/12/5 04:17 PKWT58.00_08,0.190259,2018/12/5 04:17
2018/12/5 05:02 PFTA36.0H_13,0.456621,2018/12/5 05:02
2018/12/5 05:36 PKWT54.09_24,0.380518,2018/12/5 05:36
2018/12/5 06:05 PFVA72.00_10,0.532725,2018/12/5 06:05
2018/12/5 06:51 PKXR71.00_06,0.837139,2018/12/5 06:51
2018/12/5 07:48 PKXR71.06_24,0.418569,2018/12/5 07:48
2018/12/5 08:18 PKWT54.09_23,0.418569,2018/12/5 08:18
2018/12/5 08:20 PKWT64.0A_24,0.418569,2018/12/5 08:20
2018/12/5 08:52 PFVA72.00_07,0.380518,2018/12/5 08:52
2018/12/5 09:38 PKXR71.00_05,0.342466,2018/12/5 09:38
2018/12/5 10:40 PKXR71.06_23,0.722983,2018/12/5 10:40
2018/12/5 11:10 PKWT64.0A_23,0.266362,2018/12/5 11:10
2018/12/5 11:32 PKXR89.00_12,0.304414,2018/12/5 11:32
2018/12/5 12:05 PKTC18.05_14,0.304414,2018/12/5 12:05
2018/12/5 12:15 PKXR71.00_04,0.342466,2018/12/5 12:15
2018/12/5 12:16 PKXA92.08_22,0.761035,2018/12/5 12:16
2018/12/5 13:17 PFVA80.06_25,0.304414,2018/12/5 13:17
2018/12/5 13:33 PKXR66.0D_24,0.342466,2018/12/5 13:33
2018/12/5 13:45 PKWT64.0A_22,0.456621,2018/12/5 13:45
2018/12/5 13:55 PKTC05.06_18,0.228311,2018/12/5 13:55
2018/12/5 14:06 PKXR66.0D_19,0.190259,2018/12/5 14:06
2018/12/5 14:21 PKXR89.00_11,0.152207,2018/12/5 14:21
2018/12/5 14:34 PKXR66.0D_18,0.228311,2018/12/5 14:34
2018/12/5 14:50 PKXA92.08_21,0.152207,2018/12/5 14:50
2018/12/5 15:00 PKXR71.00_03,0.570776,2018/12/5 15:00
2018/12/5 15:10 PKXR66.0D_16,0.152207,2018/12/5 15:10
2018/12/5 15:15 PFVA87.0P_14,0.304414,2018/12/5 15:15
2018/12/5 15:37 PKXR66.0D_15,0.228311,2018/12/5 15:37
2018/12/5 16:01 PKXR66.0D_14,0.228311,2018/12/5 16:01
2018/12/5 16:02 PKXR71.06_21,0.266362,2018/12/5 16:02
2018/12/5 16:23 PKWT64.0A_21,0.342466,2018/12/5 16:23
2018/12/5 17:00 PKXR89.00_10,0.228311,2018/12/5 17:00
2018/12/5 17:15 PKXA92.08_20,0.114155,2018/12/5 17:15
2018/12/5 17:16 PKXA92.08_24,0.532725,2018/12/5 17:16
2018/12/5 17:48 PKXA92.08_23,0.342466,2018/12/5 17:48
2018/12/5 17:56 PKXR71.00_02,0.64688,2018/12/5 17:56
2018/12/5 19:04 PKWT64.0A_20,0.228311,2018/12/5 19:04
2018/12/5 19:27 PKXR71.06_20,0.266362,2018/12/5 19:27
2018/12/5 19:36 PKXR89.00_09,0.342466,2018/12/5 19:36
2018/12/5 19:44 PKXA92.08_19,0.190259,2018/12/5 19:44
2018/12/5 20:35 PKXR78.00_17,0.684932,2018/12/5 20:35
2018/12/5 20:40 PKXR71.00_01,0.761035,2018/12/5 20:40
2018/12/5 21:40 PKWT64.0A_19,0.266362,2018/12/5 21:40
2018/12/5 22:03 PKXR71.06_19,0.304414,2018/12/5 22:03
2018/12/5 22:08 PM2G21.00_19,0.456621,2018/12/5 22:08
2018/12/5 22:11 PKXR89.00_08,0.342466,2018/12/5 22:11
